rank,flow_type,ticker,market_cap,stock_price,category,is_etf,aum,bullish_flow,bearish_flow,total_volume,net_flow,volatility,relative_flow,flow_score
16,Bullish,WMT,912823222386.92,114.53,mega_cap,False,,18093904.332413495,6173853.987309425,120975,11920050.345104069,0.1712681805300217,996627.5057775914,996627.5057775914
17,Bullish,VZ,170596575284.94,40.46,large_cap,False,,19248048.77877442,9531619.813952383,290470,9716428.964822039,0.1497635641757263,865068.968129417,865068.968129417
18,Bullish,LRCX,274266710800.00003,218.36,mega_cap,False,,14845505.936761163,5782130.205158863,75511,9063375.7316023,0.5484734250311544,792379.6618394275,792379.6618394275
19,Bullish,CAH,47782738896.62,201.11,large_cap,False,,83088623.09888166,48925078.643072255,37045,34163544.45580941,0.15419508216421998,3199052.100887662,760078.9182705922
20,Bullish,RCL,84950090778.0,311.5,large_cap,False,,71765267.37315404,42507528.94652174,20853,29257738.426632307,0.4145949226706036,2677033.562258845,730061.7789073568
1,Bearish,MSTR,45522593155.18,157.33,large_cap,False,,332725842.69812256,767078158.0375783,582601,-434352315.3394558,0.5405928015883706,-40752773.94752779,-11791596.95136545
2,Bearish,NOW,149619275273.0,141.8,large_cap,False,,123624951.39873457,206970668.14579973,194761,-83345716.74706516,0.42285430202973207,-7458237.9978695735,-7458237.9978695735
3,Bearish,UNH,311590368507.60004,343.98,mega_cap,False,,98223207.16787201,166172621.986386,90552,-67949414.81851399,0.2583880602478962,-5911943.104228036,-5355266.383052439
4,Bearish,META,1646055752496.8198,653.06,mega_cap,False,,156919912.99923652,218187699.98660263,258438,-61267786.98736611,0.2069103603566845,-5015189.712732879,-5015189.712732879
5,Bearish,T,170075893385.05,23.99,large_cap,False,,28607724.247124575,44352306.090276025,524235,-15744581.84315145,0.13633161795368806,-1401930.608809747,-1401930.608809747
6,Bearish,NKE,97586873859.84,65.92,large_cap,False,,23003266.536360133,37628773.3206361,173459,-14625506.784275968,0.47221275309868843,-1330875.045227204,-1330875.045227204
7,Bearish,PDD,171138380994.1,120.55000000000001,large_cap,False,,12330131.394561112,25894543.339567933,57860,-13564411.945006821,0.2732892287571589,-1207512.9023320996,-1207512.9023320996
8,Bearish,HD,372958422740.39996,374.64,mega_cap,False,,20167345.662724048,33926758.882236786,64833,-13759413.219512738,0.2361841326286017,-1189061.2687089634,-1183724.1493684442
9,Bearish,ARM,118609030028.51001,111.79,large_cap,False,,13694880.917285308,26121259.621891256,68204,-12426378.704605948,0.34605999921690944,-1122110.0389483473,-1122110.0389483473
10,Bearish,NFLX,379479446299.8,89.46,mega_cap,False,,65099645.11503397,77952824.32322104,745796,-12853179.208187073,0.25787185299525306,-1110024.2021761546,-1110024.2021761546
11,Bearish,MRNA,13402163714.8,34.3,large_cap,False,,13946236.655569803,36547210.38722587,95131,-22600973.731656063,0.6590854367155174,-2231715.5488001304,-872006.3309004103
12,Bearish,ADBE,139791470000.0,333.95,large_cap,False,,83684099.41744035,105293197.63765423,65954,-21609098.220213875,0.2807499994293638,-1938821.5597450193,-811590.7049092652
13,Bearish,LULU,23918693807.8,203.9,large_cap,False,,56003688.71171081,127243853.72535463,71731,-71240165.01364382,0.4117377337588853,-6864049.24424936,-805194.1743740138
14,Bearish,ZS,34562194909.84,216.73,large_cap,False,,17481265.67002832,54915995.00928309,35007,-37434729.33925477,0.26883241874173647,-3552153.4803557936,-566466.2065137426
15,Bearish,PG,331512388596.63,141.87,mega_cap,False,,5967339.51322916,12450887.908751719,34750,-6483548.395522559,0.19921706181199586,-562783.6056704904,-562783.6056704904
16,Bearish,GS,281626873258.78,938.9800000000001,mega_cap,False,,55715068.90914302,77066946.9351365,30084,-21351878.025993474,0.25231122107418896,-1864845.9206498456,-559320.4602249324
